Joana está _ supermecado _ esquina.,no+da
Luis e Dália estão _ Cartago.,em
Pedro está _ Estados Unidos? Não, ele está _ Itália.,nos+na
Julia está _ Rio de Janeiro? Não, ela está _ Brasília.,no+em
Nos estamos _ vulcão Poás.,no
Eu não estou _ faculdade, estoy _ casa com meus amigos.,na+na
João, Roberto e Felipe estão _ estadio.,no
Cintia e sua irmã estão _ praia.,na
João não está _ casa, ele está _ trabalho.,em+no
_ Brasil e _ Costa Rica as pessoas gostam muito _ futebol.,no+na+de
Eu não trabalho _ sábado e _ domingo.,no+no
Ana mora _ Salvador, e a prima mora _ Europa.,em+na
_ dia está muito bonito e por isso ele está _ praia com sua família.,o+na
_ Bahamas é um ótimo lugar para passar férias.,as
_ féias de dezembro vou viajar para o Brasil.,nas
Regina está _ restaurante almoçando com seu namorado.,no
_ filhos de minha amiga estão _ escola.,os+na
_ Costa Rica e _ Guatemala ficam _ América Central.,a+a+na
Eu guardei _ compras _ supermercado _ armário _ cozinha.,as+no+da
Ele vai estar _ Lima _ sábado e volta _ segunda-feira.,em+no+na
Nós não temos aula _ domingo, só _ sábado.,no+no
Qual é o maior rio _ Brasil?,do
Onde está o carro _ seu irmão?,do
_ que cor é o sapato _ menina?,de+da
Aqui estão os livros _ alunos.,dos
Meu primo ´oficila _ Marinha brasileira.,da
Quais são as cores _ saias _ professoras _ colégio?,das+das+do
_ lista _ alunos está _ computador.,a+dos+no
_ dinheiro _ viagem está _ gaveta _ escritório.,o+da+na+do
_ páginas _ livro estão _ chão.,as+do+no
_ salas _ aula ficam _ primeiro andar.,as+de+no
_ café _ estudantes está _ mesa.,o+dos+na
_ ônibus _ firma estão estacionados _ garagem.,os+da+na
_ tarefas _ professor estão _ mesa.,as+do+na
_ almoço _ turistas é servido _ bandeja.,o+das+na
_ jantar _ convidado é preparado _ cozinha.,o+do+na
_ nome _ cliente está _ cadastro.,o+do+no
_ aprovação está _ docuemnto.,a+no
_ porcentagem está incluído _ preço.,a+no
_ desconto está incluído _ processo?.,o+no
Seu nome está _ processo?,no
A reunião vai ser _ escritorio?,no
_ gerente está _ reunião? Não, ele está _ banco.,o+na+no
Eles estão _ recepção.,na
_ soma _ coluna nove está correcta.,a+da
_ crédito _ renovaçao está aprovado.,o+da
_ preço _ prodcuto está errado.,o+do
_ renovaçao precisa _ aprovaçao _ gerente.,a+da+do
Nós temos _ lista _ clientes e _ gastos.,a+dos+dos
Ela tem _ nota fiscal _ compra.,a+da
_ valores _ productos estão aqui.,os+dos
_ reunião va ser _ escritorio _ genrente _ crédito.,a+no+do+de
Eu vou _ praia _ fim _ semana.,à+no+de
_ alunos gosta de chegar cedo _ sala _ aula para conversar.,os+à+de
_ costarriquenhos levam _ turistas _ museu _ jade e _ lojas _ artesanato.,os+os+ao+de+às+de
Ela vai _ colégio ou _ reunião _ profesoras.,ao+à+de
Hoje o sejnor vais _ clube _ teatro ou _ associaçao de críticos?,ao+ao+à
Nós vamos _ casa de mihna colega e depois vamos _ cinema.,à+ao







